Date;7.4;7.3;7.2;7.1;7.0;5.6;5.5;5.4;5.3;5.2;5.1;5.0;4.4;4.3
30/03/2019;;30;314;385;421;2777;316;1301;1313;903;1050;1;2279;4
31/03/2019;;28;315;385;423;2777;313;1297;1309;903;1046;1;2274;4
02/04/2019;;35;320;388;421;2726;315;1296;1304;900;1053;1;2271;4
03/04/2019;;37;322;387;423;2717;313;1295;1304;898;1053;1;2272;4
04/04/2019;;40;323;386;421;2713;312;1295;1304;898;1056;1;2273;4
05/04/2019;;45;324;394;420;2703;310;1294;1298;894;1045;1;2264;4
06/04/2019;;41;328;403;415;2707;310;1294;1294;891;1041;1;2272;4
07/04/2019;;39;331;411;413;2704;310;1290;1289;889;1039;1;2258;4
08/04/2019;;37;332;421;410;2704;314;1289;1282;885;1017;1;2129;4
09/04/2019;;34;331;436;410;2697;314;1289;1273;879;1026;1;2126;4
10/04/2019;;33;332;437;413;2697;312;1288;1271;878;1027;1;2122;4
11/04/2019;;34;327;436;415;2702;307;1287;1270;879;1025;1;2111;4
13/04/2019;;33;331;434;412;2692;306;1285;1251;900;1009;1;2103;4
14/04/2019;;33;334;438;411;2688;309;1280;1233;910;1007;1;2103;4
15/04/2019;;32;337;437;409;2684;309;1279;1224;914;1006;1;2100;4
16/04/2019;;32;338;441;411;2679;307;1275;1213;924;1005;1;2097;4
17/04/2019;;32;338;442;407;2668;306;1275;1210;922;1005;1;2097;4
18/04/2019;;32;340;439;408;2662;304;1273;1212;922;1000;1;2090;4
19/04/2019;;33;339;429;409;2659;303;1269;1214;925;997;1;2093;4
21/04/2019;;34;343;421;409;2664;302;1263;1212;923;1002;1;2092;4
24/04/2019;;34;341;422;409;2735;298;1253;1146;925;1014;1;2099;4
26/04/2019;;35;344;418;406;2748;298;1250;1139;923;1000;1;2072;4
27/04/2019;;35;347;420;407;2741;297;1242;1137;922;989;1;2049;4
28/04/2019;;35;348;421;401;2730;299;1235;1136;908;977;1;2042;4
29/04/2019;;33;352;425;402;2732;298;1233;1133;902;974;1;2037;4
30/04/2019;;32;353;427;404;2724;299;1231;1136;903;965;1;2030;4
01/05/2019;;32;355;424;403;2731;297;1229;1135;902;970;1;2033;4
02/05/2019;;31;358;427;407;2734;297;1228;1138;904;972;1;2041;4
03/05/2019;;32;360;429;403;2721;297;1226;1137;900;974;1;2041;4
04/05/2019;;32;359;430;402;2718;296;1224;1134;897;986;1;2046;4
