Date;Sites vérifiés;3.3-dev;3.2;3.1;3.0;2.1;2.0;1.9;1.8;<1.8;?
10/04/2019;15354;22;3345;2973;3921;2982;1103;1006;;;
11/04/2019;15343;22;3350;2971;3912;2971;1109;1006;;;
13/04/2019;15323;22;3358;2968;3901;2951;1117;1004;;;
14/04/2019;15308;22;3361;2966;3891;2949;1114;1003;;;
15/04/2019;15299;22;3361;2965;3884;2945;1117;1003;;;
16/04/2019;15289;22;3362;2957;3884;2937;1122;1003;;;
17/04/2019;15269;22;3361;2951;3878;2937;1117;1001;;;
18/04/2019;15255;22;3364;2948;3867;2934;1118;1000;;;
19/04/2019;15236;22;3359;2941;3864;2934;1113;1000;;;
21/04/2019;15212;23;3359;2939;3852;2935;1105;997;;;
24/04/2019;15099;23;3348;2922;3816;2912;1098;987;;;
26/04/2019;15045;24;3350;2915;3797;2892;1085;982;;;
27/04/2019;15014;24;3356;2914;3781;2881;1077;979;;;
28/04/2019;14990;24;3368;2908;3770;2859;1082;977;;;
29/04/2019;14986;24;3378;2907;3767;2839;1093;976;;;
30/04/2019;14969;23;3379;2905;3763;2834;1088;975;;;
01/05/2019;14954;23;3382;2901;3753;2837;1084;972;;;
02/05/2019;14944;23;3383;2896;3753;2841;1073;973;;;
03/05/2019;14929;23;3386;2895;3744;2837;1071;971;;;
04/05/2019;14902;23;3388;2892;3732;2836;1062;967;;;
05/05/2019;14892;24;3388;2887;3733;2828;1064;966;;;
06/05/2019;14884;24;3395;2884;3729;2817;1069;964;;;
07/05/2019;14882;24;3400;2882;3727;2823;1067;964;;;
08/05/2019;14865;24;3406;2878;3718;2819;1057;963;;;
09/05/2019;14856;24;3407;2875;3713;2817;1056;963;;;
10/05/2019;14836;23;3406;2872;3703;2813;1055;962;;;
11/05/2019;14816;22;3406;2868;3690;2800;1068;960;;;
12/05/2019;14797;22;3401;2865;3687;2793;1067;960;;;
13/05/2019;14777;22;3398;2858;3684;2784;1070;959;;;
14/05/2019;14768;22;3404;2855;3675;2785;1066;959;;;
15/05/2019;14753;22;3403;2849;3672;2788;1058;959;;;
16/05/2019;14735;22;3402;2843;3663;2785;1060;958;;;
17/05/2019;14698;22;3394;2836;3652;2775;1059;958;;;
18/05/2019;14679;22;3407;2830;3645;2750;1065;958;;;
19/05/2019;14663;22;3407;2829;3636;2750;1060;957;;;
20/05/2019;14645;22;3409;2822;3632;2750;1055;954;;;
21/05/2019;14645;23;3410;2823;3631;2748;1055;953;;;
22/05/2019;14621;23;3402;2817;3631;2750;1044;952;;;
23/05/2019;14588;23;3404;2816;3623;2737;1040;943;;;
24/05/2019;14562;23;3407;2812;3620;2730;1031;937;;;
25/05/2019;14545;23;3406;2807;3614;2738;1019;936;;;
26/05/2019;14533;23;3404;2807;3608;2737;1016;936;;;
27/05/2019;14527;23;3406;2804;3604;2733;1017;936;;;
28/05/2019;14510;23;3404;2800;3602;2724;1019;936;;;
29/05/2019;14497;23;3405;2796;3596;2714;1016;935;;;
30/05/2019;14482;24;3403;2790;3591;2705;1033;934;;;
31/05/2019;14469;25;3402;2787;3586;2699;1034;934;;;
01/06/2019;14460;25;3407;2782;3580;2702;1028;934;;;
02/06/2019;14444;25;3406;2777;3576;2704;1022;932;;;
05/06/2019;14424;25;3409;2769;3568;2715;1006;930;;;
06/06/2019;14409;25;3411;2766;3560;2712;1003;930;;;
08/06/2019;14384;25;3405;2762;3556;2700;1005;929;;;
09/06/2019;14361;25;3398;2759;3552;2696;1002;927;;;
10/06/2019;14336;25;3392;2752;3549;2686;1004;926;;;
13/06/2019;14311;25;3392;2745;3538;2678;1010;921;;;
19/06/2019;14208;25;3384;2711;3518;2659;997;912;;;
22/06/2019;14119;25;3388;2699;3512;2570;1011;912;;;
24/06/2019;14070;25;3387;2700;3508;2539;998;911;;;
27/06/2019;14022;25;3393;2687;3495;2524;987;909;;;
30/06/2019;13993;25;3402;2677;3486;2501;991;909;;;
02/07/2019;13964;25;3403;2674;3474;2482;995;909;;;
04/07/2019;13932;24;3405;2665;3462;2483;986;905;;;
05/07/2019;13910;24;3408;2662;3454;2474;982;904;;;
08/07/2019;13868;24;3412;2649;3436;2466;975;904;;;
12/07/2019;13820;24;3412;2638;3427;2451;968;898;;;
13/07/2019;13809;24;3415;2637;3417;2443;973;898;;;
14/07/2019;13783;24;3419;2633;3404;2429;976;896;;;
20/07/2019;13693;24;3420;2611;3376;2407;969;884;;;
28/07/2019;13563;24;3420;2585;3339;2386;958;854;;;
17/12/2019;11454;30;3174;2083;2743;1957;784;680;;;
18/01/2020;11055;33;3151;2005;2576;1854;765;667;;;
15/02/2020;10912;36;3170;1945;2531;1808;757;662;;;
14/03/2020;10735;34;3183;1852;2466;1787;753;657;;;
11/04/2020;10629;40;3218;1802;2423;1756;745;642;;;
09/05/2020;10448;44;3172;1775;2362;1717;742;632;;;
07/06/2020;10197;50;3080;1720;2296;1703;723;622;;;
04/07/2020;10050;57;3051;1700;2244;1660;726;609;;;
